game_id,nickname1,nickname2,time,score1,score2,max1,max2,median1,median2,sum1,sum2,tpr_10_2,tpr_20_2,min_10_2,min_20_2,rating1,rating2
8,HastyBot,AliSalman1,900,528,414,76,83,33,23,422,328,2007.5,1931.1,10,20,2244,2067
10,BetterBot,squashy,900,415,299,68,65,12,10,309,214,1879.5,1745.55,10,20,1972,1838
15,STEEBot,meetsumeet,720,451,403,62,62,21,23,336,319,1916.4,1825.5,10,20,2155,1863
16,BetterBot,Mimix,1200,385,418,75,71,13,20,287,326,2060.8,1838.1,10,20,1927,1829
22,HastyBot,NoelL,1200,426,458,67,61,22.5,21,336,360,2226.5,2020,10,20,2183,2056
25,HastyBot,wagyus,1200,404,574,65,74,29.5,28,313,474,1909.4,1857.6,10,20,2318,2072
29,HastyBot,wagyus,1200,471,451,78,65,22,28.5,381,352,1938.5,1870.25,10,20,2335,2083
31,STEEBot,AWFUL,1080,421,419,54,74,21.5,24,316,406,1523.9,1511.95,2,2,2213,2138
33,STEEBot,Hercules,1200,377,451,68,76,18,20,297,343,1974.2,1699.45,10,20,1811,1853
35,STEEBot,Olympicnaija,1200,445,406,71,71,19,20.5,343,317,1962.6,1848.75,10,20,2183,1947
42,STEEBot,DDarien,1500,466,365,86,62,18.5,17,366,414,1587.7,1543.85,2,2,2154,1884
43,HastyBot,chloe,300,486,416,90,71,20.5,24.5,382,356,1772.5,1698.1,10,20,2024,1873
46,BetterBot,Kathleen3,1800,307,526,75,70,11,20,236,408,1913.6,1734.05,10,20,2075,1982
47,STEEBot,Goldenlamb,1200,445,412,73,70,20.5,24,341,326,2109.6,1911.05,10,20,2113,2055
48,BetterBot,kar2008,1200,430,444,57,75,20,12,318,368,1651.8,1434.65,10,20,1704,1838
50,BetterBot,Zynx,780,358,419,56,81,17.5,19,271,317,1990.4,1788.15,10,20,2003,1905
51,STEEBot,Leo,600,467,313,77,34,17,19,361,251,2117.7,1822.75,10,20,1842,1755
52,BetterBot,Juma,1200,421,444,80,75,19,17,332,344,1585.6,1607.95,10,20,2004,1612
56,BetterBot,Gtowngrad,1020,351,401,59,49,13.5,22,262,302,1521.8,1386.25,10,20,1628,1387
59,BetterBot,audrey.lwx,1200,426,379,66,63,17,18,314,300,1605.7,1552.85,5,5,2024,1513
64,STEEBot,snorkl,1200,440,336,70,66,23,19,337,247,1723.8,1733,10,20,2080,1864
71,BetterBot,Cromwell8,1800,234,482,19,75,10,11,158,363,1818.5,1662.6,10,12,1966,1830
72,BetterBot,halidom21,1200,364,401,62,64,14,13.5,261,314,1676.2,1588.1,3,3,1998,2288
73,BetterBot,bobcubed,1200,387,326,71,64,13,12,284,237,1684.7,1484.25,10,20,1585,1659
77,HastyBot,thisguy,3600,374,394,34,94,20,13.5,261,377,1706.7,1640.7,10,20,1936,1817
80,HastyBot,Hetman,900,398,440,62,81,19,15,316,334,1874.6,1831.7,10,20,2237,1887
87,BetterBot,pandorable,300,366,390,71,81,17,10,274,283,1805.9,1634,10,20,1887,1659
88,STEEBot,Anita,1200,423,319,74,55,16,15,335,244,1703,1589.4,10,20,1878,1630
95,BetterBot,Zepthyeo,780,495,293,64,85,25,9.5,376,310,1556.6,1528.3,9,9,1916,1332
96,HastyBot,josh,60,441,240,83,30,18,15,359,202,1617.5,1558.75,4,4,1943,1583
97,STEEBot,Sopejohn,1200,509,415,64,74,25,16.5,399,420,1864.6,1794.35,10,20,2077,1838
104,BetterBot,pandorable,300,570,329,84,56,20,15,467,241,1854.8,1663.3,10,20,1837,1762
105,HastyBot,ccm,1200,431,408,69,62,24,18.5,336,370,1764,1701.95,10,20,1977,1698
108,BetterBot,sassaba,1320,418,331,62,30,17,15.5,323,238,1457,1478.5,8,8,1716,1453
109,BetterBot,davidavid,900,386,291,76,30,11,11,290,199,1913.1,1736.3,10,20,2030,1877
114,STEEBot,BeautifulWaste,900,635,236,83,66,31,8,504,170,1808.7,1707.05,10,20,2065,1801
117,HastyBot,ccm,1200,567,393,78,81,23,17,465,341,1946.2,1730.05,10,12,1972,1730
118,HastyBot,ChrisNtege,1200,500,309,70,73,27,17,393,258,1690.1,1595.05,7,7,2272,1977
120,STEEBot,kushy,600,491,275,67,33,22,11.5,387,192,1539.7,1519.85,3,3,2029,1499
122,STEEBot,deathstar,1200,363,370,29,81,18.5,12,268,276,1482,1468.95,10,20,1893,1607
126,BetterBot,yss,900,424,318,88,30,17,12,343,200,1823,1661.5,9,9,2025,1924
129,BetterBot,psyadam,1500,422,436,67,73,14,11,336,324,1898.8,1699.4,9,9,1634,1735
149,HastyBot,Stanley,1200,433,523,62,74,27,38,351,418,2310.9,2027.55,10,20,2188,2177
158,STEEBot,Leo,600,414,290,64,35,19,15,324,206,1855.2,1661.15,10,20,1868,1710
159,STEEBot,Willeford,1200,444,388,65,70,24,20,340,301,1934.1,1696.4,10,20,1834,1843
163,BetterBot,MomGoose,1200,323,394,35,69,13,12,226,303,1500,1500,1,1,1697,1641
164,BetterBot,roboto,900,288,267,33,52,11,11,185,199,1500,1500,1,1,1751,1500
165,STEEBot,ooo999999,3600,418,343,76,84,27,16,321,270,1543.7,1517.75,10,18,1854,1388
169,STEEBot,Olympicnaija,1200,448,430,69,74,16,23.5,332,349,1808,1761.1,10,20,2099,1904
171,BetterBot,ruby43,1200,357,471,64,69,15,15.5,280,360,1427.2,1367.05,10,20,1704,1590
174,BetterBot,Kovert,1800,452,339,78,60,19,17,350,252,1746.5,1485.75,10,20,1694,1764
178,HastyBot,BethMix,1200,417,376,64,56,15,19.5,316,288,1531.9,1506.45,10,20,1961,1493
179,BetterBot,Modupe,540,370,353,54,58,13.5,16,248,277,1953.7,1780.8,10,20,1978,1910
181,BetterBot,Bingobabe,1200,425,322,72,96,15,18,317,359,1448,1408.6,10,20,1667,1424
182,BetterBot,kar2008,1200,429,447,61,90,22,18.5,339,344,1806.9,1553.7,10,20,1675,1842
186,STEEBot,NatthanonL,1200,410,470,65,76,23,19.5,302,389,2310,2023,10,20,2137,2031
187,STEEBot,Olympicnaija,1200,461,424,67,65,22,22,355,341,1853,1764.85,10,20,2179,1926
190,HastyBot,royster,1500,444,399,66,62,19.5,25,350,305,1736.2,1691.35,10,20,2059,1734
194,STEEBot,Goldenlamb,1200,457,516,55,75,34,30,351,426,2102.7,1929.9,10,20,2092,1935
197,HastyBot,twjiayu,1200,583,300,84,29,28.5,18.5,474,234,1927.8,1773.65,10,20,2169,1554
210,STEEBot,HivinD,900,446,369,74,62,21,21.5,341,285,1977.7,1856.75,10,20,2102,2072
211,HastyBot,jasonkb,120,413,423,75,75,24,18,327,315,2057.4,1915.65,10,20,2199,1708
215,STEEBot,BethMix,1200,427,290,79,43,17,16,332,195,1599.9,1515.8,10,20,1834,1603
225,BetterBot,The_Master,900,418,323,67,76,14,16.5,294,275,1919.6,1773.2,10,20,1988,1912
227,STEEBot,Kakapo,900,364,399,52,87,16.5,21,260,312,2071.1,1783.35,10,20,1899,1941
229,BetterBot,pandorable,300,357,356,28,57,13,12,249,274,1656.8,1539.65,10,20,1847,1754
233,BetterBot,pandorable,300,332,398,67,52,10.5,12,240,301,1544,1535.3,10,20,1957,1585
246,STEEBot,joeboy2,1200,291,415,25,77,16,12.5,201,335,1722.1,1611.05,5,5,1888,1670
250,HastyBot,gameatiruth,1200,426,544,70,81,28.5,29.5,336,442,1500,1500,1,1,2252,2143
254,BetterBot,paterae,2100,254,591,53,84,10,24,175,477,2131.9,1815.95,10,11,1891,2074
257,BetterBot,MankDemes,1200,339,434,29,69,15,16,247,335,2095.8,1825.2,10,20,1902,1500
260,STEEBot,MasterYeri,900,501,459,70,74,26.5,23.5,407,428,2159.7,1937.5,10,20,2158,1991
267,BetterBot,TheGidfather,1320,304,330,29,64,11,14,197,265,1513.5,1417.3,10,20,1681,1494
268,STEEBot,Goldenlamb,1200,381,419,38,64,18,18,272,339,2163.6,1943.55,10,20,2112,2033
277,STEEBot,Goldenlamb,1200,430,357,87,67,18.5,19,314,281,2177.8,1952.15,10,20,2098,2019
